,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
124,Ningxia,China,37.2692,106.1655,1,2020-01-23,0,0,China
125,Qinghai,China,35.7452,95.9956,0,2020-01-23,0,0,China
126,Shaanxi,China,35.1917,108.8701,3,2020-01-23,0,0,China
127,Shandong,China,36.3427,118.1498,6,2020-01-23,0,0,China
128,Shanghai,China,31.201999999999998,121.4491,16,2020-01-23,0,0,China
129,Shanxi,China,37.5777,112.2922,1,2020-01-23,0,0,China
130,Sichuan,China,30.6171,102.7103,8,2020-01-23,0,0,China
131,Tianjin,China,39.3054,117.323,4,2020-01-23,0,0,China
132,Tibet,China,31.6927,88.0924,0,2020-01-23,0,0,China
133,Xinjiang,China,41.1129,85.2401,2,2020-01-23,0,0,China
134,Yunnan,China,24.974,101.48700000000001,2,2020-01-23,0,0,China
135,Zhejiang,China,29.1832,120.0934,27,2020-01-23,0,0,China
136,Thailand,Thailand,15.0,101.0,3,2020-01-23,0,0,Thailand
137,Japan,Japan,36.0,138.0,1,2020-01-23,0,0,Japan
138,South Korea,South Korea,36.0,128.0,1,2020-01-23,0,0,South Korea
139,Taiwan,Taiwan,23.7,121.0,1,2020-01-23,0,0,Taiwan
140,"Seattle, WA",United States of America,47.6062,-122.3321,1,2020-01-23,0,0,United States of America
141,"Chicago, IL",United States of America,41.8781,-87.6298,0,2020-01-23,0,0,United States of America
142,"Tempe, AZ",United States of America,33.4255,-111.94,0,2020-01-23,0,0,United States of America
143,Macau,Macau,22.1667,113.55,2,2020-01-23,0,0,Macau
144,Hong Kong,Hong Kong,22.3,114.2,2,2020-01-23,0,0,Hong Kong
145,Singapore,Singapore,1.2833,103.8333,1,2020-01-23,0,0,Singapore
146,Vietnam,Vietnam,16.0,108.0,2,2020-01-23,0,0,Vietnam
147,France,France,47.0,2.0,0,2020-01-23,0,0,France
148,Nepal,Nepal,28.1667,84.25,0,2020-01-23,0,0,Nepal
149,Malaysia,Malaysia,2.5,112.5,0,2020-01-23,0,0,Malaysia
150,"Toronto, ON",Canada,43.6532,-79.3832,0,2020-01-23,0,0,Canada
151,British Columbia,Canada,49.2827,-123.1207,0,2020-01-23,0,0,Canada
152,"Orange, CA",United States of America,33.7879,-117.8531,0,2020-01-23,0,0,United States of America
153,"Los Angeles, CA",United States of America,34.0522,-118.2437,0,2020-01-23,0,0,United States of America
154,New South Wales,Australia,-33.8688,151.2093,0,2020-01-23,0,0,Australia
155,Victoria,Australia,-37.8136,144.9631,0,2020-01-23,0,0,Australia
156,Queensland,Australia,-28.0167,153.4,0,2020-01-23,0,0,Australia
157,Cambodia,Cambodia,11.55,104.9167,0,2020-01-23,0,0,Cambodia
158,Sri Lanka,Sri Lanka,7.0,81.0,0,2020-01-23,0,0,Sri Lanka
159,Germany,Germany,51.0,9.0,0,2020-01-23,0,0,Germany
160,Finland,Finland,64.0,26.0,0,2020-01-23,0,0,Finland
161,United Arab Emirates,United Arab Emirates,24.0,54.0,0,2020-01-23,0,0,United Arab Emirates
162,Philippines,Philippines,13.0,122.0,0,2020-01-23,0,0,Philippines
163,India,India,21.0,78.0,0,2020-01-23,0,0,India
164,"London, ON",Canada,42.9849,-81.2453,0,2020-01-23,0,0,Canada
165,Italy,Italy,43.0,12.0,0,2020-01-23,0,0,Italy
166,UK,UK,55.0,-3.0,0,2020-01-23,0,0,UK
167,Russia,Russia,60.0,90.0,0,2020-01-23,0,0,Russia
168,Sweden,Sweden,63.0,16.0,0,2020-01-23,0,0,Sweden
169,"Santa Clara, CA",United States of America,37.3541,-121.9552,0,2020-01-23,0,0,United States of America
170,Spain,Spain,40.0,-4.0,0,2020-01-23,0,0,Spain
171,South Australia,Australia,-34.9285,138.6007,0,2020-01-23,0,0,Australia
172,"Boston, MA",United States of America,42.3601,-71.0589,0,2020-01-23,0,0,United States of America
173,"San Benito, CA",United States of America,36.5761,-120.9876,0,2020-01-23,0,0,United States of America
174,Belgium,Belgium,50.8333,4.0,0,2020-01-23,0,0,Belgium
175,"Madison, WI",United States of America,43.0731,-89.4012,0,2020-01-23,0,0,United States of America
176,Diamond Princess cruise ship,Others,35.4437,139.638,0,2020-01-23,0,0,Others
177,"San Diego County, CA",United States of America,32.7157,-117.1611,0,2020-01-23,0,0,United States of America
178,"San Antonio, TX",United States of America,29.4241,-98.4936,0,2020-01-23,0,0,United States of America
179,Egypt,Egypt,26.0,30.0,0,2020-01-23,0,0,Egypt
180,Iran,Iran,32.0,53.0,0,2020-01-23,0,0,Iran
181,"Omaha, NE (From Diamond Princess)",United States of America,41.2545,-95.9758,0,2020-01-23,0,0,United States of America
182,"Travis, CA (From Diamond Princess)",United States of America,38.2721,-121.9399,0,2020-01-23,0,0,United States of America
183,From Diamond Princess,Australia,35.4437,139.638,0,2020-01-23,0,0,Australia
184,"Lackland, TX (From Diamond Princess)",United States of America,29.3829,-98.6134,0,2020-01-23,0,0,United States of America
185,Lebanon,Lebanon,33.8547,35.8623,0,2020-01-23,0,0,Lebanon
186,"Humboldt County, CA",United States of America,40.745,-123.8695,0,2020-01-23,0,0,United States of America
187,"Sacramento County, CA",United States of America,38.4747,-121.3542,0,2020-01-23,0,0,United States of America
188,Iraq,Iraq,33.0,44.0,0,2020-01-23,0,0,Iraq
189,Unassigned Location (From Diamond Princess),United States of America,35.4437,139.638,0,2020-01-23,0,0,United States of America
190,Oman,Oman,21.0,57.0,0,2020-01-23,0,0,Oman
191,Afghanistan,Afghanistan,33.0,65.0,0,2020-01-23,0,0,Afghanistan
192,Bahrain,Bahrain,26.0275,50.55,0,2020-01-23,0,0,Bahrain
193,Kuwait,Kuwait,29.5,47.75,0,2020-01-23,0,0,Kuwait
194,Algeria,Algeria,28.0339,1.6596,0,2020-01-23,0,0,Algeria
195,Croatia,Croatia,45.1,15.2,0,2020-01-23,0,0,Croatia
196,Switzerland,Switzerland,46.8182,8.2275,0,2020-01-23,0,0,Switzerland
197,Austria,Austria,47.5162,14.5501,0,2020-01-23,0,0,Austria
198,Israel,Israel,31.0,35.0,0,2020-01-23,0,0,Israel
199,Pakistan,Pakistan,30.3753,69.3451,0,2020-01-23,0,0,Pakistan
200,Brazil,Brazil,-14.235,-51.9253,0,2020-01-23,0,0,Brazil
201,Georgia,Georgia,42.3154,43.3569,0,2020-01-23,0,0,Georgia
202,Greece,Greece,39.0742,21.8243,0,2020-01-23,0,0,Greece
203,North Macedonia,North Macedonia,41.6086,21.7453,0,2020-01-23,0,0,North Macedonia
204,Norway,Norway,60.472,8.4689,0,2020-01-23,0,0,Norway
205,Romania,Romania,45.9432,24.9668,0,2020-01-23,0,0,Romania
206,Denmark,Denmark,56.2639,9.5018,0,2020-01-23,0,0,Denmark
207,Estonia,Estonia,58.5953,25.0136,0,2020-01-23,0,0,Estonia
208,Netherlands,Netherlands,52.1326,5.2913,0,2020-01-23,0,0,Netherlands
209,San Marino,San Marino,43.9424,12.4578,0,2020-01-23,0,0,San Marino
210,Anhui,China,31.8257,117.2264,15,2020-01-24,0,0,China
