,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
7549,Nigeria,Nigeria,9.082,8.6753,1,2020-03-05,0,0,Nigeria
7550,Western Australia,Australia,-31.9505,115.8605,3,2020-03-05,0,1,Australia
7551,Ireland,Ireland,53.1424,-7.6921,6,2020-03-05,0,0,Ireland
7552,Luxembourg,Luxembourg,49.8153,6.1296,1,2020-03-05,0,0,Luxembourg
7553,Monaco,Monaco,43.7333,7.4167,1,2020-03-05,0,0,Monaco
7554,Qatar,Qatar,25.3548,51.1839,8,2020-03-05,0,0,Qatar
7555,"Snohomish County, WA",United States of America,48.033,-121.8339,18,2020-03-05,0,1,United States of America
7556,Ecuador,Ecuador,-1.8312,-78.1834,13,2020-03-05,0,0,Ecuador
7557,Azerbaijan,Azerbaijan,40.1431,47.5769,6,2020-03-05,0,0,Azerbaijan
7558,Czech Republic,Czech Republic,49.8175,15.473,12,2020-03-05,0,0,Czech Republic
7559,Armenia,Armenia,40.0691,45.0382,1,2020-03-05,0,0,Armenia
7560,Dominican Republic,Dominican Republic,18.7357,-70.1627,1,2020-03-05,0,0,Dominican Republic
7561,"Providence, RI",United States of America,41.824,-71.4128,2,2020-03-05,0,0,United States of America
7562,Indonesia,Indonesia,-0.7893,113.9213,2,2020-03-05,0,0,Indonesia
7563,Portugal,Portugal,39.3999,-8.2245,8,2020-03-05,0,0,Portugal
7564,Andorra,Andorra,42.5063,1.5218,1,2020-03-05,0,0,Andorra
7565,Tasmania,Australia,-41.4545,145.9707,1,2020-03-05,0,0,Australia
7566,Latvia,Latvia,56.8796,24.6032,1,2020-03-05,0,0,Latvia
7567,Morocco,Morocco,31.7917,-7.0926,2,2020-03-05,0,0,Morocco
7568,Saudi Arabia,Saudi Arabia,24.0,45.0,5,2020-03-05,0,0,Saudi Arabia
7569,Senegal,Senegal,14.4974,-14.4524,4,2020-03-05,0,0,Senegal
7570,"Grafton County, NH",United States of America,43.9088,-71.82600000000002,2,2020-03-05,0,0,United States of America
7571,"Hillsborough, FL",United States of America,27.9904,-82.3018,2,2020-03-05,0,0,United States of America
7572,"New York City, NY",United States of America,40.7128,-74.006,4,2020-03-05,0,0,United States of America
7573,"Placer County, CA",United States of America,39.0916,-120.8039,2,2020-03-05,0,1,United States of America
7574,"San Mateo, CA",United States of America,37.563,-122.3255,2,2020-03-05,0,0,United States of America
7575,"Sarasota, FL",United States of America,27.3364,-82.5307,1,2020-03-05,0,0,United States of America
7576,"Sonoma County, CA",United States of America,38.578,-122.9888,1,2020-03-05,0,0,United States of America
7577,"Umatilla, OR",United States of America,45.775,-118.7606,1,2020-03-05,0,0,United States of America
7578,"Fulton County, GA",United States of America,33.8034,-84.3963,2,2020-03-05,0,0,United States of America
7579,"Washington County, OR",United States of America,45.547,-123.1386,2,2020-03-05,0,0,United States of America
7580,Argentina,Argentina,-38.4161,-63.6167,1,2020-03-05,0,0,Argentina
7581,Chile,Chile,-35.6751,-71.543,4,2020-03-05,0,0,Chile
7582,Jordan,Jordan,31.24,36.51,1,2020-03-05,0,0,Jordan
7583," Norfolk County, MA",United States of America,42.1767,-71.1449,1,2020-03-05,0,0,United States of America
7584,"Berkeley, CA",United States of America,37.8715,-122.273,1,2020-03-05,0,0,United States of America
7585,"Maricopa County, AZ",United States of America,33.2918,-112.4291,1,2020-03-05,0,0,United States of America
7586,"Wake County, NC",United States of America,35.8032,-78.5661,1,2020-03-05,0,0,United States of America
7587,"Westchester County, NY",United States of America,41.122,-73.7949,18,2020-03-05,0,0,United States of America
7588,Ukraine,Ukraine,48.3794,31.1656,1,2020-03-05,0,0,Ukraine
7589,Saint Barthelemy,Saint Barthelemy,17.9,-62.8333,3,2020-03-05,0,0,Saint Barthelemy
7590,"Orange County, CA",United States of America,33.7879,-117.8531,3,2020-03-05,0,0,United States of America
7591,Hungary,Hungary,47.1625,19.5033,2,2020-03-05,0,0,Hungary
7592,Northern Territory,Australia,-12.4634,130.8456,1,2020-03-05,0,0,Australia
7593,Faroe Islands,Faroe Islands,61.8926,-6.9118,1,2020-03-05,0,0,Faroe Islands
7594,Gibraltar,Gibraltar,36.1408,-5.3536,1,2020-03-05,0,0,Gibraltar
7595,Liechtenstein,Liechtenstein,47.14,9.55,1,2020-03-05,0,0,Liechtenstein
7596,Poland,Poland,51.9194,19.1451,1,2020-03-05,0,0,Poland
7597,Tunisia,Tunisia,34.0,9.0,1,2020-03-05,0,0,Tunisia
